long_name,age,nationality,club,overall
町田 浩樹,21,Japan,Kashima Antlers,64
Sherel Floranus,20,Netherlands,SC Heerenveen,64
Viktor Tranberg,22,Denmark,Esbjerg fB,64
José Antonio Martínez Álvarez,21,Spain,Real Oviedo,64
Ragnar Ache,20,Germany,Sparta Rotterdam,64
Răzvan Constantin Oaidă,21,Romania,FCSB (Steaua),64
Manuel Thurnwald,20,Austria,SCR Altach,64
Paschalis Staikos,23,Greece,Panathinaikos FC,64
Mikael Soisalo,21,Finland,SV Zulte-Waregem,64
Kevin Lankford,20,Germany,FC St. Pauli,64
August Erlingmark,21,Sweden,IFK Göteborg,64
Luis Riveros,20,Paraguay,CD Universidad de Concepción,64
Romain Basque,24,France,Le Havre AC,64
Emmanuel Banda,21,Zambia,KV Oostende,64
Lion Lauberbach,21,Germany,Holstein Kiel,64
Yassin Fekir,22,France,Real Betis,64
Gustavo Torres,23,Colombia,Rionegro Águilas,64
Nuno Alberto Macedo Pereira,20,Portugal,Moreirense FC,64
Mehdi Merghem,21,France,En Avant de Guingamp,64
Adam Jakubech,22,Slovakia,LOSC Lille,64
Sikou Niakaté,19,France,En Avant de Guingamp,64
Filippo Florio,23,Italy,Pordenone,64
Franco Nicolás Quiroz,21,Argentina,Club Atlético Colón,64
Mateo Carabajal,22,Argentina,Arsenal de Sarandí,64
Rigoberto Rivas,20,Honduras,Inter,64
Jón Dagur Þorsteinsson,20,Iceland,Aarhus GF,64
Carlos Cordero Pérez,22,Spain,Real Sporting de Gijón,64
Lindon Selahi,20,Albania,FC Twente,64
Sidney Friede,21,Germany,Hertha BSC,64
Ismael Govea Solorzano,22,Mexico,Club Atlas,64
Louis Ameka Autchanga,22,Gabon,Chamois Niortais Football Club,64
Nathanaël Dieng,22,France,Rodez Aveyron Football,64
Vato Arveladze,21,Georgia,Korona Kielce,64
Jacopo Segre,22,Italy,Torino,64
André Ricardo Ferreira Schutte,21,Portugal,Rio Ave FC,64
Santiago Briñone,22,Argentina,Patronato,64
Jesús Fortes Socas,22,Spain,UD Las Palmas,64
Fernando Cardozo,18,Paraguay,Boavista FC,64
Miłosz Szczepański,21,Poland,Raków Częstochowa,64
Maudo Lamine Jarjué,21,Guinea Bissau,FK Austria Wien,64
Charles-Andreas Brym,20,France,Os Belenenses,64
Jorge Daniel Abreu Vilela,23,Portugal,Portimonense SC,64
Samuel Obeng,22,Ghana,Real Oviedo,64
Anthony Belmonte,23,France,Grenoble Foot 38,64
Jonathan Mitchell,24,England,Derby County,64
Olivier Custodio Da Costa,24,Switzerland,FC Lugano,64
Mikkel Kallesøe,22,Denmark,Randers FC,64
Maodo Malick M'Baye,23,Senegal,Chievo Verona,64
Nicola Sutter,24,Switzerland,FC Thun,64
Rob Dickie,23,England,Oxford United,64
Luke McGee,23,England,Portsmouth,64
Bradley Collins,22,England,Barnsley,64
Ryan Hardie,22,Scotland,Blackpool,64
Aloïs Confais,22,France,Le Mans FC,64
Ricardo Antonio Escobar Acuña,21,Chile,Audax Italiano,64
Séga Coulibaly,23,France,AS Nancy Lorraine,64
Anton Walkes,22,England,Portsmouth,64
Doğanay Kılıç,23,Turkey,Göztepe SK,64
홍정운 洪俊涣,24,Korea Republic,Daegu FC,64
이상헌 Sang Heon Lee,21,Korea Republic,Ulsan Hyundai FC,64
Fredrik André Bjørkan,20,Norway,FK Bodø/Glimt,64
Sammy Skytte,22,Denmark,Stabæk Fotball,64
Nathan McGinley,22,England,Forest Green Rovers,64
Fabijan Buntić,22,Croatia,FC Ingolstadt 04,64
Elias Huth,22,Germany,FSV Zwickau,64
Oliver Christensen,20,Denmark,Odense Boldklub,64
Jordi Cortizo,23,Mexico,Querétaro,64
한승규 韩承奎,22,Korea Republic,Jeonbuk Hyundai Motors,64
Abu Danladi,23,Ghana,Minnesota United FC,64
Edgar Zaldivar Valverde,22,Mexico,Club Atlas,64
Nicolás Bazzana,23,Argentina,Club Atlético Aldosivi,64
Malaly Dembélé,22,France,AS Nancy Lorraine,64
Tarek Chahed,23,Germany,1. FC Magdeburg,64
Fridolin Wagner,21,Germany,SC Preußen Münster,64
Andrea Dini,23,Italy,Trapani,64
Facundo García,19,Argentina,CD Leganés,64
Filip Kusić,23,Serbia,FC Erzgebirge Aue,64
Conor Hazard,21,Northern Ireland,Celtic,64
Federico Bikoro Akieme Nchama,23,Equatorial Guinea,Real Zaragoza,64
Avdo Spahic,22,Bosnia Herzegovina,1. FC Kaiserslautern,64
Emmanuel Lomotey,21,Ghana,Extremadura UD,64
Edson Gutiérrez,23,Mexico,Monterrey,64
Jérémy Guillemenot,21,Switzerland,FC St. Gallen,64
Juan Pablo Vargas Campos,24,Costa Rica,Deportes Tolima,64
Alexander Groiß,21,Germany,Karlsruher SC,64
Allan Cruz,23,Costa Rica,FC Cincinnati,64
Rasmus Karjalainen,23,Finland,Fortuna Sittard,64
Paul Iacob,23,Romania,FC Viitorul,64
Daniel Hanslik,22,Germany,Holstein Kiel,64
Laros Duarte,22,Netherlands,Sparta Rotterdam,64
Seref Özcan,23,Germany,SC Preußen Münster,64
Kirian Rodríguez,23,Spain,UD Las Palmas,64
Enric Franquesa Dolz,22,Spain,CD Mirandés,64
Kostas Apostolakis,20,Greece,Panathinaikos FC,64
Scott Fraser,24,Scotland,Burton Albion,64
Kent-Are Antonsen,24,Norway,Tromsø IL,64
Dan Butler,24,England,Peterborough United,64
Wladimiro Falcone,24,Italy,Sampdoria,64
Pascal Gregor,25,Denmark,FK Haugesund,64
Jevani Brown,24,Jamaica,Colchester United,64
Oswal Andrés Álvarez Salazar,24,Colombia,Patriotas Boyacá FC,64
Conor Grant,24,England,Plymouth Argyle,64
Ander Cantero Armendáriz,24,Spain,CD Lugo,64
Vegard Bergan,24,Norway,FK Bodø/Glimt,64
Morten Ågnes Konradsen,23,Norway,FK Bodø/Glimt,64
Amadou Bakayoko,23,Sierra Leone,Coventry City,64
Ashley Smith-Brown,23,England,Oldham Athletic,64
Sid Nelson,23,England,Tranmere Rovers,64
Simon Skrabb,24,Finland,IFK Norrköping,64
Sergio Felipe Román Palacios,24,Colombia,Once Caldas,64
Luigi Carillo,22,Italy,US Salernitana 1919,64
Blair Spittal,23,Scotland,Ross County FC,64
Victor Wernersson,23,Sweden,IFK Göteborg,64
Scott Kashket,23,England,Wycombe Wanderers,64
Zak Vyner,22,England,Aberdeen,64
Nathan Raphael Pelae Cardoso,24,Brazil,FC Zürich,64
George Timotheou,21,Australia,SV Zulte-Waregem,64
Adam Andersson,22,Sweden,BK Häcken,64
Nahuel Alberto Omiliani González,23,Spain,CD Tenerife,64
David Niepsuj,23,Poland,Wisła Kraków,64
Niall Mason,22,England,Peterborough United,64
Alessandro Deiola,23,Italy,Cagliari,64
Gustavo Hebling de Aguiar,23,Brazil,Portimonense SC,64
森 島司,22,Japan,Sanfrecce Hiroshima,64
Abrahim Soumaoro,22,Guinea,Livorno,64
Phillip Tietz,21,Germany,SV Wehen Wiesbaden,64
Andrés Schetino,25,Uruguay,Fiorentina,64
송주훈 宋株熏,25,Korea Republic,Tianjin Quanjian FC,64
Sören-Kurt Reddemann,23,Germany,Chemnitzer FC,64
Lassana Faye,21,Netherlands,Sparta Rotterdam,64
황기욱 黄起旭,23,Korea Republic,FC Seoul,64
Javier Jiménez García,22,Spain,Valencia CF,64
Roberto Zammarini,22,Italy,Pordenone,64
Brandt Bronico,24,United States,Chicago Fire,64
Melle Meulensteen,19,Netherlands,RKC Waalwijk,64
Manprit Sarkaria,22,Austria,FK Austria Wien,64
Carlos Miguel Coronel,22,Brazil,FC Red Bull Salzburg,64
Brandon  Bye,23,United States,New England Revolution,64
Jeisson Martínez,24,Peru,CF Fuenlabrada,64
Johannes Dörfler,22,Germany,SC Paderborn 07,64
Djegui Koita,19,Mali,En Avant de Guingamp,64
Primitivo Ferriz García,23,Spain,Elche CF,64
Deniz Undav,22,Germany,SV Meppen,64
Prince Osei Owusu,22,Germany,DSC Arminia Bielefeld,64
Tomoki Iwata,22,Japan,Oita Trinita,64
Paul Ayongo,22,Ghana,FC Paços de Ferreira,64
David Gugganig,22,Austria,WSG Tirol,64
Cristian Neguț,23,Romania,Chindia Târgovişte,64
Mohammed Shaker,22,United Arab Emirates,Al Ain FC,64
Leonardo Cordeiro Lima Silva,23,Brazil,Gil Vicente FC,64
Admonio Vicente Gomes,25,Guinea Bissau,CD Numancia,64
Leonardo Marchi,22,Argentina,Arsenal de Sarandí,64
Bruno W Ribeiro,22,Brazil,CD Aves,64
Richard Sánchez,25,Mexico,Chicago Fire,64
Ryan McLaughlin,24,Northern Ireland,Rochdale,64
Marcus Fraser,25,Scotland,Ross County FC,64
Nico Neidhart,24,Germany,FC Hansa Rostock,64
Wes Burns,24,Wales,Fleetwood Town,64
Marian Sarr,24,Germany,FC Carl Zeiss Jena,64
Darijan Bojanić,24,Sweden,Hammarby IF,64
Joe Wright,24,Wales,Doncaster Rovers,64
Harry Cornick,24,England,Luton Town,64
Daniele Gabriele,24,Germany,FC Carl Zeiss Jena,64
Chris Long,24,England,Motherwell,64
Ryan Hedges,23,Wales,Aberdeen,64
Agostino Camigliano,24,Italy,Cittadella,64
Pietro Ceccaroni,23,Italy,Venezia FC,64
Umberto Saracco,25,Italy,Cosenza,64
Otis Khan,22,England,Mansfield Town,64
Marco Schuster,23,Germany,SV Waldhof Mannheim,64
Boris Cmiljanić,23,Montenegro,FC Admira Wacker Mödling,64
Gianfranco Gazzaniga,25,Argentina,SD Ponferradina,64
Tobias Sahlquist,24,Denmark,Lillestrøm SK,64
Kevin Mercado,24,Ecuador,Club Necaxa,64
Jelle van der Heyden,23,Netherlands,FC Twente,64
Joris Kramer,22,Netherlands,AZ Alkmaar,64
Charlie Goode,23,England,Northampton Town,64
Julius Ertlthaler,22,Austria,SV Mattersburg,64
Callum Johnson,22,England,Accrington Stanley,64
Böðvar Böðvarsson,24,Iceland,Jagiellonia Białystok,64
최규백 崔圭伯,25,Korea Republic,Jeju United FC,64
Manuel Martic,23,Austria,SK Rapid Wien,64
Andrija Vukčević,22,Montenegro,Waasland-Beveren,64
Nico Rieble,23,Germany,FC Hansa Rostock,64
Riccardo Piscitelli,25,Italy,Dinamo Bucureşti,64
Saeed Awadh Al Yami,25,Saudi Arabia,Ettifaq FC,64
Taha Cengiz Demirtaş,25,Turkey,Gençlerbirliği SK,64
Lachlan Wales,21,Australia,Melbourne City FC,64
Christoph Greger,22,Germany,SpVgg Unterhaching,64
Lukas Grgic,23,Austria,WSG Tirol,64
Ivan  Jukić,23,Croatia,Korona Kielce,64
Luan Leite da Silva,23,Brazil,SKN St. Pölten,64
Santiago Samanes Bonito,23,Spain,Arka Gdynia,64
Bahadır Öztürk,23,Turkey,Antalyaspor,64
Mauro Gabriel Ortiz,24,Argentina,Club Atlético Talleres,64
Martin Skjelbreid Ellingsen,24,Norway,Molde FK,64
Michael Breij,22,Netherlands,FC Groningen,64
Craig Sibbald,24,Scotland,Livingston FC,64
Ibrahim Sissoko,23,France,Chamois Niortais Football Club,64
Andrei Radu,23,Romania,Politehnica Iaşi,64
Arial Mendy,24,Senegal,Racing Club de Lens,64
Ederson Moreno,25,Colombia,Deportivo Pasto,64
Andreas Ivan,24,Romania,New York Red Bulls,64
Arthur Silva Feitoza,24,Brazil,FC Tokyo,64
Bryan Nouvier,24,France,Raków Częstochowa,64
Tshegofatso Mabasa,22,South Africa,Orlando Pirates,64
Justin Dhillon,24,United States,Seattle Sounders FC,64
Kellyton Oliveira,24,Brazil,Gil Vicente FC,64
Vlatko Stojanovski,22,FYR Macedonia,Nîmes Olympique,64
Tiago Alexandre de Sousa Esgaio,23,Portugal,Os Belenenses,64
Fabiano Donato Alves,24,Brazil,FC St. Gallen,64
Joyskim Dawa Tchakonte,23,Cameroon,Cameroon,64
Jonathan Bond,26,England,West Bromwich Albion,64
Josh Ruffels,25,England,Oxford United,64
Aaron Pierre,26,Grenada,Shrewsbury,64
James Bolton,24,England,Portsmouth,64
Jordan Roberts,25,England,Ipswich Town,64
Ryan Edwards,25,Australia,Burton Albion,64
Tom Anderson,25,England,Doncaster Rovers,64
Tim Hölscher,24,Germany,FC Twente,64
Frans Dhia Putros,25,Iraq,Hobro IK,64
Joakim Nilsson,25,Sweden,DSC Arminia Bielefeld,64
Joel Untersee,25,Switzerland,Empoli,64
Hendrik Hansen,24,Germany,FC Würzburger Kickers,64
Aaron Calver,23,Australia,Western United FC,64
Víctor Milke,24,Mexico,Querétaro,64
Elacio José Córdoba Mosquera,25,Colombia,Rionegro Águilas,64
Luis Hernando Mena Sepúlveda,25,Colombia,Atlético Bucaramanga,64
Patrick Schorr,24,Germany,FC Carl Zeiss Jena,64
Ignacio Jáuregui,23,Argentina,WSG Tirol,64
Jeroen Houwen,23,Netherlands,Vitesse,64
Jari Oosterwijk,24,Netherlands,FC Twente,64
Sofian Chakla,25,Morocco,Villarreal CF,64
Stefano Vecchia,24,Sweden,IK Sirius,64
Patrick Berg,21,Norway,FK Bodø/Glimt,64
Nicolò Fazzi,24,Italy,Atalanta,64
Omar Sowunmi,23,England,Colchester United,64
Rafael António Figueiredo Ramos,24,Portugal,Santa Clara,64
金洋洋,26,China PR,Hebei China Fortune FC,64
Deklan Wynne,24,New Zealand,Colorado Rapids,64
Romario Williams,24,Jamaica,Columbus Crew SC,64
Beni Badibanga,23,Belgium,Waasland-Beveren,64
Philipp Hercher,23,Germany,1. FC Kaiserslautern,64
Anthony Maisonnial,21,France,Paris FC,64
Yavuz Aygün,23,Turkey,Göztepe SK,64
Paolo Yrizar,21,Mexico,Querétaro,64
Wolke Janssens,23,Belgium,Sint-Truidense VV,64
Marc Wachs,23,Germany,SV Wehen Wiesbaden,64
Nicholas Freeman,23,England,Wycombe Wanderers,64
Sylla Sow,22,Netherlands,RKC Waalwijk,64
Thijmen Goppel,22,Netherlands,ADO Den Haag,64
Chima Akas,25,Nigeria,Os Belenenses,64
Daniel Kvande,24,Norway,Ranheim Fotball,64
Niklas Heidemann,24,Germany,SC Preußen Münster,64
Clint Essers,22,Netherlands,Fortuna Sittard,64
Basil Stillhart,25,Switzerland,FC Thun,64
Daniel Moreno,24,Colombia,Junior FC,64
Gianni Rodríguez,25,Uruguay,UD Almería,64
Eduardo David Espiau Hernández,24,Spain,Villarreal CF,64
Caniggia Elva,22,Canada,FC Ingolstadt 04,64
Stefan Haudum,24,Austria,LASK Linz,64
Ruan Gregório Teixeira,24,Brazil,Orlando City SC,64
Ahmed Isaiah,23,Nigeria,Gil Vicente FC,64
Etienne Vaessen,23,Netherlands,RKC Waalwijk,64
Stefan Hager,24,Austria,WSG Tirol,64
Jorge Fernando dos Santos Silva,23,Portugal,FC Paços de Ferreira,64
Marco Meyerhöfer,23,Germany,SpVgg Greuther Fürth,64
José Alejandro Suárez Suárez,26,Spain,UD Las Palmas,64
Mihai Voduț,24,Romania,Chindia Târgovişte,64
Marcelo Antônio de Oliveira,22,Brazil,Clube Sport Marítimo,64
Charalambos Stamboulidis,23,Greece,Extremadura UD,64
Eirik Holmen Johansen,26,Norway,SK Brann,64
Daniel Potts,25,England,Luton Town,64
Donovan Léon,26,France,Stade Brestois 29,64
Wouter Marinus,24,Netherlands,FC Emmen,64
Dominic Poleon,25,England,Crawley Town,64
Thom Haye,24,Netherlands,Lecce,64
Marko Maletić,25,Bosnia Herzegovina,Paris FC,64
Marcin Cebula,23,Poland,Korona Kielce,64
Sean Hoare,25,Republic of Ireland,Dundalk,64
Daniel Bohl,25,Germany,Chemnitzer FC,64
Ariel Elías Martínez Arce,25,Chile,Audax Italiano,64
Rodrigo Andrés Ureña Reyes,26,Chile,CD Cobresal,64
François Marquet,24,Belgium,KV Oostende,64
Fabian Holthaus,24,Germany,Viktoria Köln,64
Miguel Van Damme,25,Belgium,KSV Cercle Brugge,64
Josh Laurent,24,England,Shrewsbury,64
David Djigla,23,Benin,Chamois Niortais Football Club,64
Alex Arthur Rufer,23,New Zealand,Wellington Phoenix,64
Damian Węglarz,23,Poland,Jagiellonia Białystok,64
Tareiq Holmes-Dennis,23,England,Bristol Rovers,64
Nathan Thomas,24,England,Carlisle United,64
Marko Maroši,25,Slovakia,Coventry City,64
Yaseen Omar Barnawi,25,Saudi Arabia,Al Taawoun,64
최경록 崔琼罗,24,Korea Republic,Karlsruher SC,64
Petar Golubović,24,Serbia,KV Kortrijk,64
Akim Zedadka,24,France,Clermont Foot 63,64
Svenn Crone,24,Denmark,Silkeborg IF,64
Gennaro Acampora,25,Italy,Spezia,64
David Gil Mohedano,25,Spain,Cádiz CF,64
Martin Fraisl,26,Austria,SV Sandhausen,64
İsmail Çipe,24,Turkey,Kayserispor,64
Abdulelah Al Malki,24,Saudi Arabia,Al Ittihad,64
金森 健志,25,Japan,Sagan Tosu,64
Valentin Henry,25,France,Rodez Aveyron Football,64
Reuven Niemeijer,24,Netherlands,Heracles Almelo,64
Jordan Green,24,England,Barnsley,64
박이영 朴易扬,25,Korea Republic,FC St. Pauli,64
永藤 克弥,24,Japan,Vegalta Sendai,64
Dan Scarr,24,England,Walsall,64
Jeremias Lorch,23,Germany,SV Wehen Wiesbaden,64
Miha Blažič,26,Slovenia,Slovenia,64
Stefan Schimmer,25,Germany,1. FC Heidenheim 1846,64
Marcel Seegert,25,Germany,SV Waldhof Mannheim,64
Albion Vrenezi,25,Kosovo,FC Würzburger Kickers,64
Bjarke Jacobsen,25,Denmark,AC Horsens,64
Marcelo Ortíz,25,Argentina,Atlético Tucumán,64
Marius Lode,26,Norway,FK Bodø/Glimt,64
Lars Nieuwpoort,24,Netherlands,RKC Waalwijk,64
Streli Mamba,25,Germany,SC Paderborn 07,64
Ibrahima Savane,25,France,Livingston FC,64
Javier Méndez,24,Uruguay,Unión de Santa Fe,64
Kevin Holzweiler,24,Germany,Viktoria Köln,64
Rok Sirk,25,Slovenia,Zagłębie Lubin,64
James Kotei,25,Ghana,Kaizer Chiefs,64
Rui F. da Cunha Correia,24,Portugal,Santa Clara,64
David Jablonský,27,Czech Republic,Cracovia,64
Christopher Missilou,26,Congo,Oldham Athletic,64
Fredrik Oldrup Jensen,26,Norway,Odds BK,64
Milton Raphael Guimarães Pires,28,Brazil,Vitória de Setúbal,64
Sam Walker,27,England,Reading,64
Rod McDonald,27,England,AFC Wimbledon,64
Zeli Ismail,25,England,Bradford City,64
Anthony Stewart,26,England,Wycombe Wanderers,64
Oliver Turton,26,England,Blackpool,64
Ioannis Gelios,27,Greece,Holstein Kiel,64
Toni Brito Silva Sá,25,Guinea Bissau,Astra Giurgiu,64
Jesús Alonso Escoboza Lugo,26,Mexico,Querétaro,64
Jack Grimmer,25,Scotland,Wycombe Wanderers,64
Adam Henley,25,Wales,Bradford City,64
Onur Bulut,25,Germany,Alanyaspor,64
Pol Freixanet Viejo,27,Spain,CF Fuenlabrada,64
Tom Hopper,25,England,Southend United,64
김원식 金元植,27,Korea Republic,FC Seoul,64
Daniel Berntsen,26,Norway,Tromsø IL,64
Callum Reilly,25,Republic of Ireland,AFC Wimbledon,64
Dolly Domingos Menga,26,Angola,Livingston FC,64
Wesley Jobello,25,France,Coventry City,64
Kieron Morris,25,England,Tranmere Rovers,64
John O'Sullivan,25,Republic of Ireland,Morecambe,64
Janoi Donacien,25,St Lucia,Ipswich Town,64
Srđan Spiridonović,25,Austria,Pogoń Szczecin,64
Manuel Kuttin,25,Austria,Wolfsberger AC,64
Alejandro Vallejo Mínguez,27,Spain,CF Fuenlabrada,64
Cristian Marcelo Álvarez,26,Argentina,América de Cali,64
Dominik Starkl,25,Austria,FC Admira Wacker Mödling,64
Nils Quaschner,25,Germany,DSC Arminia Bielefeld,64
Jamal Thiaré,26,Senegal,Le Havre AC,64
Ezequiel Mastrolía,28,Argentina,Club Atlético Talleres,64
Gaëtan Karlen,26,Switzerland,Neuchâtel Xamax,64
Liam Shephard,24,Wales,Forest Green Rovers,64
王上源,26,China PR,Henan Jianye FC,64
Malick Evouna,26,Gabon,Santa Clara,64
Andrés Felipe Mosquera Marmolejo,27,Colombia,Independiente Medellín,64
Abdullah Abdulkarim Al Shamekh,26,Saudi Arabia,Al Shabab,64
王彤,26,China PR,Shandong Luneng TaiShan FC,64
罗森文,26,China PR,Chongqing Dangdai Lifan FC SWM Team,64
Rodrigo Sebastián Arciero,26,Argentina,Club Atlético Banfield,64
胡延强,26,China PR,Beijing Sinobo Guoan FC,64
罗竞,25,China PR,Jiangsu Suning FC,64
Ziggy Gordon,26,Scotland,Central Coast Mariners,64
Saleh Al Jaman,25,Saudi Arabia,Ettifaq FC,64
Gabriel Gustavo Alanís,25,Argentina,Godoy Cruz,64
Sebastián Ignacio Leyton Hevia,26,Chile,Unión La Calera,64
前田 尚輝,24,Japan,Nagoya Grampus,64
Emanuel Rodrigues Novo,26,Portugal,FC Hermannstadt,64
Andreias Calcan,25,Romania,FC Viitorul,64
Sergio Vergara,25,Chile,CD Everton de Viña del Mar,64
Danijel Petković,26,Montenegro,Angers SCO,64
Franco Emanuel Bolo,25,Argentina,Deportivo Pasto,64
Aleksander Foosnæs,25,Norway,Ranheim Fotball,64
Simon Strand,26,Sweden,IF Elfsborg,64
İlkay Durmuş,25,Turkey,St. Mirren,64
Diogo Miguel Oliveira Silva,26,Portugal,CD Tondela,64
Eduard Pap,25,Romania,FC Botoşani,64
Rafael Garcia,25,Germany,Chemnitzer FC,64
Dino Kovačec,25,Croatia,WSG Tirol,64
Márcio André Meira Fernandes,25,Portugal,Gil Vicente FC,64
Mark Birighitti,28,Australia,Central Coast Mariners,64
Ole Söderberg,28,Sweden,AFC Eskilstuna,64
David Eduardo Achucarro Trinidad,28,Argentina,Cúcuta Deportivo,64
Matthias Maak,27,Austria,SCR Altach,64
Ryan Allsop,27,England,Wycombe Wanderers,64
Nathan Ralph,26,England,Southend United,64
Joonas Tamm,27,Estonia,Lillestrøm SK,64
Danny Rose,25,England,Mansfield Town,64
Cody Cropper,26,United States,New England Revolution,64
Clément Diop Degoud,25,Senegal,Montreal Impact,64
Jean Alexandre Deretti,26,Brazil,Academica Clinceni,64
Pierce Sweeney,24,Republic of Ireland,Exeter City,64
Philipp Kühn,26,Germany,VfL Osnabrück,64
Jordan Tillson,26,England,Exeter City,64
Nasser Chamed,25,Comoros,Gaz Metan Mediaş,64
Kearyn Baccus,27,Australia,Kaizer Chiefs,64
Casper Højer Nielsen,24,Denmark,Aarhus GF,64
Sebastian Patzler,28,Germany,Viktoria Köln,64
Paulo Retre,26,Australia,Sydney FC,64
Brayan Perea,26,Colombia,Independiente Santa Fe,64
Jonathan Beaulieu,26,France,FC Chambly Oise,64
Peter Tschernegg,26,Austria,TSV Hartberg,64
Jakub Vojtuš,25,Slovakia,Academica Clinceni,64
Ulrik Saltnes,26,Norway,FK Bodø/Glimt,64
糜昊伦,26,China PR,Tianjin Quanjian FC,64
Vaso Vasić,29,Serbia,Royal Excel Mouscron,64
Ibrahim Blati Touré,24,Ivory Coast,Vitória Guimarães,64
Jay Chapman,25,Canada,Toronto FC,64
Kaiyne Woolery,24,England,Swindon Town,64
Alejandro Sanz Sainz,26,Spain,CD Numancia,64
Ángel García Cabezali,26,Spain,Wisła Płock,64
David Enagnon Kiki,25,Benin,Stade Brestois 29,64
Dion Donohue,25,Wales,Mansfield Town,64
Marco Firenze,26,Italy,US Salernitana 1919,64
Mārcis Ošs,27,Latvia,Neuchâtel Xamax,64
小林 誠吾,25,Japan,Oita Trinita,64
Kasper Enghardt,27,Denmark,Lyngby BK,64
Seifedin  Chabbi,25,Tunisia,Gazişehir Gaziantep F.K.,64
Andreas Hopmark,27,Norway,Kristiansund BK,64
Jamil Dem,26,Germany,SG Sonnenhof Großaspach,64
Łukasz Wolsztyński,24,Poland,Górnik Zabrze,64
Yusuke Goto,26,Japan,Oita Trinita,64
Juan José Salcedo,26,Colombia,Once Caldas,64
Enriko Papa,26,Albania,FC Botoşani,64
Kevin Debaty,30,Belgium,Waasland-Beveren,64
Liridon Kalludra,27,Sweden,Kristiansund BK,64
Flamur Kastrati,27,Kosovo,Kristiansund BK,64
Mushagalusa Bakenga Joar Namugunga,26,Norway,Tromsø IL,64
Alonso René Zamora Barrera,27,Mexico,Puebla FC,64
Tim Björkström,28,Sweden,IK Sirius,64
Gudmund Taksdal Kongshavn,28,Norway,Tromsø IL,64
Wilson Antonio Cuero Llano,27,Colombia,Alianza Petrolera,64
Jamie Proctor,27,England,Rotherham United,64
Gilbert Álvarez,27,Bolivia,Bolivia,64
Nathan Cameron,27,England,Macclesfield Town,64
Conor McAleny,26,England,Fleetwood Town,64
Milan Jurdík,27,Czech Republic,WSG Tirol,64
Antoni Sarcevic,27,England,Plymouth Argyle,64
Janick Kamber,27,Switzerland,Neuchâtel Xamax,64
Daniel Offenbacher,27,Austria,FC Hermannstadt,64
Bernie Ibini-Isei,26,Australia,Jeonbuk Hyundai Motors,64
Luke Norris 'Hacker',26,England,Colchester United,64
Hilal Ben Moussa,27,Netherlands,Sepsi OSK,64
Rhys Bennett,27,England,Peterborough United,64
Mehdi Jeannin,28,Algeria,Clermont Foot 63,64
Rachid Bouhenna,28,Algeria,Sepsi OSK,64
Timothée Dieng,27,France,Southend United,64
Gearóid Morrissey,27,Republic of Ireland,Cork City,64
Jon-Helge Tveita,27,Norway,Sarpsborg 08 FF,64
Brennan Dickenson,26,England,Milton Keynes Dons,64
한용수 汉永苏,29,Korea Republic,Gangwon FC,64
Leonard Zuta,26,FYR Macedonia,Atiker Konyaspor,64
Simon Grether,27,Switzerland,FC Luzern,64
Orhan Ademi,27,Switzerland,Eintracht Braunschweig,64
Brian Rowe,30,United States,Orlando City SC,64
Sultan Ali Al Sawadi,26,Saudi Arabia,Al Raed,64
Nicolai Brock-Madsen,26,Denmark,AC Horsens,64
Daniel Dziwniel,26,Poland,Korona Kielce,64
Brede Mathias Moe,27,Norway,FK Bodø/Glimt,64
Ihor Berezovskyi,28,Ukraine,SV Darmstadt 98,64
Alec Kann,28,United States,Atlanta United,64
Yuber Alberto Asprilla Viera,26,Colombia,Atlético Bucaramanga,64
Mauricio Rosales,27,Argentina,Estudiantes de La Plata,64
Fernando Coniglio,27,Argentina,Club Atlético Huracán,64
Saliou Sané,26,Germany,Karlsruher SC,64
Ollie Palmer,27,England,Crawley Town,64
Jacopo Manconi,25,Italy,Perugia,64
한석종 韩钟硕,26,Korea Republic,Sangju Sangmu FC,64
Julius Biada,26,Germany,SV Sandhausen,64
Mickey Demetriou,29,England,Newport County,64
Daniel Luxbacher,27,Austria,SKN St. Pölten,64
Nabil Aankour,25,Morocco,Arka Gdynia,64
Jon García Herrero,28,Spain,SD Ponferradina,64
Steve Rouiller,28,Switzerland,Servette FC,64
Ingvar Jónsson,29,Iceland,Iceland,64
Fitim Azemi,27,Norway,Tromsø IL,64
Kévin Hoggas,27,France,KSV Cercle Brugge,64
Fernando Madrigal González,27,Mexico,Atlético de San Luis,64
Ignacio Agustín Sánchez Romo,26,Spain,CD Numancia,64
Nico Karger,26,Germany,TSV 1860 München,64
遠藤 翼,25,Japan,Toronto FC,64
Oliver Hawkins,27,England,Portsmouth,64
허용준 许榕俊,26,Korea Republic,Pohang Steelers,64
한희훈 韩献熙,28,Korea Republic,Daegu FC,64
守田 達弥,28,Japan,Matsumoto Yamaga,64
Abdulkarim Ayidh Al Qahtani,26,Saudi Arabia,Al Fayha,64
松下 佳貴,25,Japan,Vegalta Sendai,64
新里 亮,28,Japan,Júbilo Iwata,64
髙木 骏,30,Japan,Oita Trinita,64
三竿 雄斗,28,Japan,Oita Trinita,64
下田 北斗,27,Japan,Kawasaki Frontale,64
Ruslan Babenko,26,Ukraine,Raków Częstochowa,64
Yannick Mamilonne,27,France,FC Chambly Oise,64
Michael Huber,29,Austria,TSV Hartberg,64
